zid x y z sxx syy szz sxy sxz syz
10328 2655 4790.5 200.743 -5.37819e+06 -4.60109e+06 -3.48665e+06 -388205 -44768.7 -33681.4
10329 2657 4790.5 200.743 -5.37332e+06 -4.60919e+06 -3.49899e+06 -387605 -44839.5 -35789.5
10530 2559 4791.5 200.743 -5.52819e+06 -4.70862e+06 -3.64392e+06 -153829 10293.6 26261.3
10531 2561 4791.5 200.743 -5.52343e+06 -4.69415e+06 -3.63151e+06 -165916 10464.1 25891
10532 2563 4791.5 200.743 -5.51633e+06 -4.67683e+06 -3.6164e+06 -179256 10615.3 25586.3
10533 2565 4791.5 200.743 -5.51258e+06 -4.66316e+06 -3.60488e+06 -193900 10791.3 25369.1
10534 2567 4791.5 200.743 -5.50533e+06 -4.6462e+06 -3.58982e+06 -209326 11023.7 25229.7
10535 2569 4791.5 200.743 -5.49779e+06 -4.62735e+06 -3.57235e+06 -224451 11296.7 25150.2
10536 2571 4791.5 200.743 -5.49148e+06 -4.60102e+06 -3.54961e+06 -237640 11609.1 25142.1
10537 2573 4791.5 200.743 -5.48422e+06 -4.57242e+06 -3.52494e+06 -250145 11967.9 25197.6
10538 2575 4791.5 200.743 -5.4765e+06 -4.54402e+06 -3.5002e+06 -262168 12367.6 25308.1
10539 2577 4791.5 200.743 -5.47003e+06 -4.52125e+06 -3.48008e+06 -273098 12870.2 25464
10540 2579 4791.5 200.743 -5.4641e+06 -4.50227e+06 -3.46337e+06 -282090 13538.3 25646.3
10541 2581 4791.5 200.743 -5.45993e+06 -4.48569e+06 -3.4491e+06 -290194 14395.7 25809.9
10542 2583 4791.5 200.743 -5.4569e+06 -4.46841e+06 -3.43451e+06 -297872 15399.3 25900.7
10543 2585 4791.5 200.743 -5.45377e+06 -4.45145e+06 -3.41951e+06 -304233 16407.1 25886.5
10544 2587 4791.5 200.743 -5.44898e+06 -4.43514e+06 -3.40367e+06 -309629 17321.2 25745.9
10545 2589 4791.5 200.743 -5.44247e+06 -4.4213e+06 -3.38853e+06 -315950 18040.4 25444.5
10546 2591 4791.5 200.743 -5.4361e+06 -4.41728e+06 -3.38034e+06 -324733 18462.5 24930.9
10547 2593 4791.5 200.743 -5.43142e+06 -4.41864e+06 -3.37644e+06 -334666 18544.9 24118.2
10548 2595 4791.5 200.743 -5.42762e+06 -4.41933e+06 -3.37249e+06 -344223 18228.2 22929
10549 2597 4791.5 200.743 -5.424e+06 -4.41962e+06 -3.36856e+06 -353113 17523.8 21375.2
10550 2599 4791.5 200.743 -5.41998e+06 -4.41977e+06 -3.36471e+06 -361581 16614.9 19562.3
10551 2601 4791.5 200.743 -5.41566e+06 -4.41971e+06 -3.36082e+06 -369754 15777.3 17623.1
10552 2603 4791.5 200.743 -5.41118e+06 -4.41948e+06 -3.35672e+06 -377826 15132.8 15646.7
10553 2605 4791.5 200.743 -5.40626e+06 -4.41859e+06 -3.35197e+06 -386146 14565.4 13665.1
10554 2607 4791.5 200.743 -5.4027e+06 -4.41683e+06 -3.34704e+06 -394669 13809.2 11769.2
10555 2609 4791.5 200.743 -5.40098e+06 -4.41508e+06 -3.34319e+06 -403178 12733 10084.9
10556 2611 4791.5 200.743 -5.40054e+06 -4.41974e+06 -3.34484e+06 -410874 11476.6 8606.13
10557 2613 4791.5 200.743 -5.39994e+06 -4.42833e+06 -3.34984e+06 -416412 10216.8 7158.83
10558 2615 4791.5 200.743 -5.40209e+06 -4.4388e+06 -3.35709e+06 -419616 8907.26 5513.69
10559 2617 4791.5 200.743 -5.40346e+06 -4.44847e+06 -3.3636e+06 -421633 7334.95 3617.8
10560 2619 4791.5 200.743 -5.4044e+06 -4.45726e+06 -3.36969e+06 -422684 5311.6 1605.29
10561 2621 4791.5 200.743 -5.40605e+06 -4.46923e+06 -3.37846e+06 -423556 2991.38 -424.629
10562 2623 4791.5 200.743 -5.40376e+06 -4.47863e+06 -3.38409e+06 -424665 551.599 -2541.98
10563 2625 4791.5 200.743 -5.4025e+06 -4.48856e+06 -3.39022e+06 -425699 -2084.39 -4786.82
10564 2627 4791.5 200.743 -5.40122e+06 -4.49737e+06 -3.39624e+06 -426707 -4886.2 -7021.34
10565 2629 4791.5 200.743 -5.4003e+06 -4.50556e+06 -3.40244e+06 -427517 -7964.53 -9014.87
