Mileage,X_local,Y_local,Z_crown
1908.0,2387.998147557334,4711.271859805604,222.787
1909.0,2387.05633826882,4710.935712123672,222.786
1910.0,2386.1145289803067,4710.599564441738,222.785
1911.0,2385.1727196917927,4710.263416759804,222.784
1912.0,2384.230910403279,4709.927269077871,222.783
1913.0,2383.2891011147653,4709.591121395937,222.782
1914.0,2382.3472918262514,4709.254973714004,222.781
1915.0,2381.4054825373987,4708.918826033021,222.78
1916.0,2380.4636732483737,4708.58267835252,222.779
1917.0,2379.5218639593486,4708.246530672019,222.778
1918.0,2378.580054670324,4707.9103829915175,222.777
1919.0,2377.638245381299,4707.574235311016,222.776
1920.0,2376.6964360922743,4707.238087630514,222.775
1921.0,2375.7546268032493,4706.901939950013,222.774
1922.0,2374.812817514224,4706.565792269512,222.773
1923.0,2373.8710082251996,4706.229644589011,222.772
1924.0,2372.9291989361745,4705.893496908509,222.771
1925.0,2371.9873896471495,4705.557349228008,222.77
1926.0,2371.045580358125,4705.221201547507,222.769
1927.0,2370.1037710691,4704.885053867006,222.768
1928.0,2369.161961780076,4704.548906186501,222.767
1929.0,2368.220152491052,4704.212758505997,222.766
1930.0,2367.2783432020283,4703.876610825493,222.765
1931.0,2366.336533913004,4703.540463144988,222.764
1932.0,2365.3947246239804,4703.204315464484,222.763
1933.0,2364.4529153349567,4702.86816778398,222.762
1934.0,2363.511106046233,4702.532020102634,222.761
1935.0,2362.5692967577183,4702.195872420704,222.76
1936.0,2361.6274874692035,4701.859724738773,222.759
1937.0,2360.6856781806887,4701.523577056843,222.758
1938.0,2359.743868892174,4701.187429374912,222.757
1939.0,2358.802059603659,4700.8512816929815,222.756
1940.0,2357.8602503150264,4700.5151340113825,222.755
1941.0,2356.9184410260023,4700.178986330878,222.754
1942.0,2355.9766317369786,4699.842838650374,222.753
1943.0,2355.0348224479544,4699.50669096987,222.752
1944.0,2354.0930131589307,4699.170543289365,222.751
1945.0,2353.151203869907,4698.834395608861,222.75
1946.0,2352.209394580883,4698.498247928357,222.749
1947.0,2351.267585291843,4698.162100247898,222.748
1948.0,2350.3257760028005,4697.825952567446,222.74699999999999
1949.0,2349.3839667137577,4697.489804886994,222.746
1950.0,2348.4421574247153,4697.153657206542,222.745
1951.0,2347.500348135673,4696.81750952609,222.744
1952.0,2346.55853884663,4696.481361845638,222.743
1953.0,2345.6167295578603,4696.145214164423,222.742
1954.0,2344.6749202693454,4695.809066482492,222.74099999999999
1955.0,2343.7331109808306,4695.472918800562,222.74
1956.0,2342.7913016923158,4695.136771118631,222.739
1957.0,2341.849492403801,4694.800623436701,222.738
1958.0,2340.907683115286,4694.46447575477,222.737
1959.0,2339.9658738266908,4694.128328073066,222.736
1960.0,2339.024064537666,4693.792180392565,222.73499999999999
1961.0,2338.082255248641,4693.456032712063,222.734
1962.0,2337.140445959616,4693.119885031561,222.733
1963.0,2336.1986366705914,4692.78373735106,222.732
1964.0,2335.2568273815664,4692.447589670559,222.731
1965.0,2334.315018092542,4692.111441990058,222.73
1966.0,2333.373208803536,4691.775294309502,222.72899999999998
1967.0,2332.4313995145353,4691.439146628933,222.728
1968.0,2331.489590225535,4691.102998948364,222.727
1969.0,2330.547780936534,4690.766851267795,222.726
