step_pair,phase,cycle,L_xmin,L_xmax,R_xmin,R_xmax,ratio_target,ratio_local,converged,box_id,monitor_x,boundary,target_coord,actual_coord,gp_id,x,y,z,ux,uy,uz
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,zmax,242.0,238.9612518628912,315537,2558.0,4793.0,238.9612518628912,0.00187077,0.00220804,-0.00885206
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,zmin,192.0,196.48648648648648,14337,2558.0,4794.0,196.48648648648648,0.00329571,0.00249215,-0.00120345
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,16094,2558.0,4794.0,205.0,0.00334194,0.00399195,-0.000937974
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,61023,2558.0,4794.0,206.58333333333334,0.00339578,0.00465583,-0.000806993
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,62780,2558.0,4794.0,208.16666666666666,0.00347254,0.00551429,-0.000667227
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,64537,2558.0,4794.0,209.75,0.00358027,0.0066666,-0.000571357
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,66294,2558.0,4794.0,211.33333333333334,0.00372734,0.00822988,-0.000637556
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,68051,2558.0,4794.0,212.91666666666666,0.00391145,0.0103384,-0.00105759
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,69808,2558.0,4794.0,214.5,0.0041033,0.0130255,-0.00217168
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,141343,2558.0,4794.0,215.0,0.00415336,0.0138959,-0.00271885
54,conv,2000,0,0,0,0,0,0,1,sub_2608,2608.0,xmin,2558.0,2558.0,143100,2558.0,4794.0,215.5,0.00419094,0.0147022,-0.00341405
