box_id,monitor_x,boundary,target_coord,actual_coord,gp_id,x,y,z
sub_2608,2608.0,xmin,2558.0,2558.0,241994,2558.0,4790.0,224.33333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,244504,2558.0,4790.0,226.5
sub_2608,2608.0,xmin,2558.0,2558.0,247014,2558.0,4790.0,228.66666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,249524,2558.0,4790.0,230.83333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,252034,2558.0,4790.0,233.0
sub_2608,2608.0,xmin,2558.0,2558.0,307254,2558.0,4790.0,238.9612518628912
sub_2608,2608.0,xmin,2558.0,2558.0,13584,2558.0,4791.0,196.48648648648648
sub_2608,2608.0,xmin,2558.0,2558.0,15341,2558.0,4791.0,205.0
sub_2608,2608.0,xmin,2558.0,2558.0,60270,2558.0,4791.0,206.58333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,62027,2558.0,4791.0,208.16666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,63784,2558.0,4791.0,209.75
sub_2608,2608.0,xmin,2558.0,2558.0,65541,2558.0,4791.0,211.33333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,67298,2558.0,4791.0,212.91666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,69055,2558.0,4791.0,214.5
sub_2608,2608.0,xmin,2558.0,2558.0,140590,2558.0,4791.0,215.0
sub_2608,2608.0,xmin,2558.0,2558.0,142347,2558.0,4791.0,215.5
sub_2608,2608.0,xmin,2558.0,2558.0,144104,2558.0,4791.0,216.0
sub_2608,2608.0,xmin,2558.0,2558.0,145861,2558.0,4791.0,216.5
sub_2608,2608.0,xmin,2558.0,2558.0,147618,2558.0,4791.0,217.0
sub_2608,2608.0,xmin,2558.0,2558.0,149375,2558.0,4791.0,217.5
sub_2608,2608.0,xmin,2558.0,2558.0,151132,2558.0,4791.0,218.0
sub_2608,2608.0,xmin,2558.0,2558.0,152889,2558.0,4791.0,218.5
sub_2608,2608.0,xmin,2558.0,2558.0,154646,2558.0,4791.0,219.0
sub_2608,2608.0,xmin,2558.0,2558.0,156403,2558.0,4791.0,219.5
sub_2608,2608.0,xmin,2558.0,2558.0,158160,2558.0,4791.0,220.0
sub_2608,2608.0,xmin,2558.0,2558.0,252285,2558.0,4791.0,222.16666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,254042,2558.0,4791.0,224.33333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,255799,2558.0,4791.0,226.5
sub_2608,2608.0,xmin,2558.0,2558.0,257556,2558.0,4791.0,228.66666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,259313,2558.0,4791.0,230.83333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,261070,2558.0,4791.0,233.0
sub_2608,2608.0,xmin,2558.0,2558.0,315035,2558.0,4791.0,238.9612518628912
sub_2608,2608.0,xmin,2558.0,2558.0,13835,2558.0,4792.0,196.48648648648648
sub_2608,2608.0,xmin,2558.0,2558.0,15592,2558.0,4792.0,205.0
sub_2608,2608.0,xmin,2558.0,2558.0,60521,2558.0,4792.0,206.58333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,62278,2558.0,4792.0,208.16666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,64035,2558.0,4792.0,209.75
sub_2608,2608.0,xmin,2558.0,2558.0,65792,2558.0,4792.0,211.33333333333334
sub_2608,2608.0,xmin,2558.0,2558.0,67549,2558.0,4792.0,212.91666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,69306,2558.0,4792.0,214.5
sub_2608,2608.0,xmin,2558.0,2558.0,140841,2558.0,4792.0,215.0
sub_2608,2608.0,xmin,2558.0,2558.0,142598,2558.0,4792.0,215.5
sub_2608,2608.0,xmin,2558.0,2558.0,144355,2558.0,4792.0,216.0
sub_2608,2608.0,xmin,2558.0,2558.0,146112,2558.0,4792.0,216.5
sub_2608,2608.0,xmin,2558.0,2558.0,147869,2558.0,4792.0,217.0
sub_2608,2608.0,xmin,2558.0,2558.0,149626,2558.0,4792.0,217.5
sub_2608,2608.0,xmin,2558.0,2558.0,151383,2558.0,4792.0,218.0
sub_2608,2608.0,xmin,2558.0,2558.0,153140,2558.0,4792.0,218.5
sub_2608,2608.0,xmin,2558.0,2558.0,154897,2558.0,4792.0,219.0
sub_2608,2608.0,xmin,2558.0,2558.0,156654,2558.0,4792.0,219.5
sub_2608,2608.0,xmin,2558.0,2558.0,158411,2558.0,4792.0,220.0
sub_2608,2608.0,xmin,2558.0,2558.0,252536,2558.0,4792.0,222.16666666666666
sub_2608,2608.0,xmin,2558.0,2558.0,254293,2558.0,4792.0,224.33333333333334
