Mileage,excavation_distance_m,X_local,Y_local,Z_crown,Z_topography,overburden_m,formation_nearest,formation_used
2599.0,2599.0110332620698,1737.2079289412604,4478.993812298654,222.0990023518468,322.0010986328125,99.90209628096572,SH_ST,SH_ST
2600.0,2600.011033753741,1736.2661196522356,4478.657664618153,222.09801071494388,321.6243896484375,99.52637893349362,SH_ST,SH_ST
2601.0,2601.011034245413,1735.3243103632126,4478.321516937645,222.09701907804097,321.26678466796875,99.16976558992778,SH_ST,SH_ST
2602.0,2602.0110347370846,1734.3825010746748,4477.98536925578,222.09602744113803,320.9091796875,98.81315224636197,SH_ST,SH_ST
2603.0,2603.011035228757,1733.4406917861368,4477.6492215739145,222.0950358042351,320.55157470703125,98.45653890279615,SH_ST,SH_ST
2604.0,2604.0110357204285,1732.4988824975987,4477.313073892049,222.09404416733216,320.1939697265625,98.09992555923034,SH_ST,SH_ST
2605.0,2605.0110362121004,1731.5570732090607,4476.976926210184,222.0930525304292,319.8363647460937,97.74331221566456,SH_ST,SH_ST
2606.0,2606.0110367037723,1730.6152639205227,4476.640778528318,222.09206089352628,319.478759765625,97.38669887209872,SH_ST,SH_ST
2607.0,2607.0110371954443,1729.673454631985,4476.304630846452,222.09106925662337,319.12115478515625,97.03008552853288,SH_ST,SH_ST
2608.0,2608.011037687116,1728.731645343148,4475.968483165424,222.09007761972043,318.7635498046875,96.67347218496708,SH_ST,SH_ST
2609.0,2609.011038178787,1727.7898360541471,4475.632335484856,222.0890859828175,318.40594482421875,96.31685884140126,SH_ST,SH_ST
2610.0,2610.01103867046,1726.8480267651464,4475.296187804286,222.08809434591456,318.04833984375,95.96024549783544,SH_ST,SH_ST
2611.0,2611.0110391621315,1725.9062174761457,4474.960040123717,222.0871027090116,317.69073486328125,95.60363215426966,SH_ST,SH_ST
2612.0,2612.0110396538034,1724.964408187145,4474.623892443147,222.08611107210868,317.3331298828125,95.24701881070382,SH_ST,SH_ST
2613.0,2613.011040145476,1724.0225988981442,4474.287744762578,222.08511943520577,317.1249084472656,95.03978901205986,SH_ST,SH_ST
2614.0,2614.011040637147,1723.080789609137,4473.9515970820285,222.08412779830283,317.0015869140625,94.91745911575968,SH_ST,SH_ST
2615.0,2615.0110411288188,1722.1389803201116,4473.615449401527,222.0831361613999,316.8782653808594,94.79512921945948,SH_ST,SH_ST
2616.0,2616.0110416204902,1721.1971710310868,4473.279301721026,222.08214452449693,316.75494384765625,94.67279932315932,SH_ST,SH_ST
2617.0,2617.0110421121617,1720.255361742062,4472.943154040525,222.081152887594,316.631591796875,94.550438909281,SH_ST,SH_ST
2618.0,2618.011042603833,1719.3135524530371,4472.607006360024,222.08016125069108,316.5082702636719,94.4281090129808,SH_ST,SH_ST
2619.0,2619.011043095505,1718.371743164012,4472.2708586795225,222.07916961378817,316.38494873046875,94.30577911668058,SH_ST,SH_ST
2620.0,2620.011043587177,1717.4299338749872,4471.93471099902,222.07817797688523,316.2616271972656,94.1834492203804,SH_ST,SH_ST
2621.0,2621.0110440788485,1716.4881245859624,4471.598563318519,222.0771863399823,316.1382751464844,94.06108880650208,SH_ST,SH_ST
2622.0,2622.01104457052,1715.5463152969376,4471.262415638018,222.07619470307927,316.01495361328125,93.93875891020193,SH_ST,SH_ST
2623.0,2623.0110450621914,1714.6045060079127,4470.926267957517,222.0752030661764,315.8916320800781,93.81642901390173,SH_ST,SH_ST
2624.0,2624.011045553864,1713.6626967188877,4470.590120277016,222.07421142927348,315.768310546875,93.69409911760152,SH_ST,SH_ST
2625.0,2625.011046045535,1712.7208874298628,4470.253972596514,222.07321979237057,315.6449584960937,93.57173870372318,SH_ST,SH_ST
2626.0,2626.0110465372063,1711.779078140838,4469.917824916013,222.07222815546763,315.5216369628906,93.449408807423,SH_ST,SH_ST
2627.0,2627.0110470288782,1710.8372688520956,4469.58167723472,222.0712365185647,315.3983154296875,93.3270789111228,SH_ST,SH_ST
2628.0,2628.01104752055,1709.895459563564,4469.245529552836,222.0702448816617,315.2749938964844,93.20474901482264,SH_ST,SH_ST
2629.0,2629.011048012222,1708.9536502750327,4468.909381870952,222.0692532447588,315.1516418457031,93.08238860094433,SH_ST,SH_ST
2630.0,2630.0110485038936,1708.0118409865015,4468.573234189068,222.06826160785587,315.0283203125,92.96005870464413,SH_ST,SH_ST
2631.0,2631.011048995565,1707.07003169797,4468.237086507183,222.06726997095296,314.9049987792969,92.83772880834393,SH_ST,SH_ST
2632.0,2632.0110494872374,1706.1282224094386,4467.900938825299,222.06627833405005,314.7816772460937,92.7153989120437,SH_ST,SH_ST
2633.0,2633.011049978909,1705.1864131208015,4467.564791143712,222.0652866971471,314.6129455566406,92.54765885949354,SH_ST,SH_ST
2634.0,2634.0110504705804,1704.2446038317769,4467.228643463211,222.0642950602441,314.4707946777344,92.40649961749024,SH_ST,SH_ST
2635.0,2635.0110509622527,1703.3027945427518,4466.8924957827085,222.0633034233412,314.4277038574219,92.36440043408066,SH_ST,SH_ST
2636.0,2636.011051453924,1702.360985253727,4466.556348102207,222.06231178643827,314.3846130371094,92.3223012506711,SH_ST,SH_ST
2637.0,2637.011051945596,1701.4191759647022,4466.220200421706,222.06132014953536,314.35260009765625,92.29127994812087,SH_ST,SH_ST
2638.0,2638.011052437268,1700.477366675677,4465.884052741205,222.0603285126324,314.3262023925781,92.26587387994572,SH_ST,SH_ST
2639.0,2639.011052928939,1699.5355573866525,4465.547905060704,222.05933687572949,314.2998046875,92.24046781177051,SH_ST,SH_ST
2640.0,2640.011053420611,1698.5937480976274,4465.2117573802025,222.0583452388265,314.2734375,92.21509226117348,SH_ST,SH_ST
2641.0,2641.0110539122825,1697.6519388086026,4464.875609699701,222.0573536019236,314.2470397949219,92.18968619299828,SH_ST,SH_ST
2642.0,2642.011054403954,1696.7101295195778,4464.5394620192,222.05636196502067,314.2206420898437,92.16428012482308,SH_ST,SH_ST
2643.0,2643.0110548956263,1695.7683202305527,4464.203314338698,222.05537032811776,314.1942749023437,92.138904574226,SH_ST,SH_ST
2644.0,2644.011055387298,1694.826510941528,4463.867166658197,222.0543786912148,314.1678771972656,92.11349850605085,SH_ST,SH_ST
2645.0,2645.0110558789697,1693.884701652503,4463.531018977696,222.05338705431188,314.1414794921875,92.08809243787562,SH_ST,SH_ST
2646.0,2646.0110563706417,1692.9428923637329,4463.19487129648,222.0523954174089,314.1151123046875,92.06271688727858,SH_ST,SH_ST
2647.0,2647.0110568623136,1692.0010830752192,4462.858723614547,222.051403780506,314.0887145996094,92.03731081910335,SH_ST,SH_ST
2648.0,2648.011057353985,1691.0592737867055,4462.522575932614,222.05041214360307,314.06231689453125,92.01190475092818,SH_ST,SH_ST
2649.0,2649.011057845657,1690.1174644981916,4462.18642825068,222.04942050670013,314.03594970703125,91.98652920033112,SH_ST,SH_ST
