Mileage,excavation_distance_m,X_local,Y_local,Z_crown,Z_topography,overburden_m,formation_nearest,formation_used,density_kg_m3,young_GPa,poisson,cohesion_MPa,friction_deg,vertical_stress_Pa,horizontal_stress_Pa,failure_criterion,plastic_zone_thickness_m,plastic_zone_ratio_to_radius,plastic_radius_m,plastic_theta_deg,max_failure_F_Pa,max_sigma_1_Pa,max_sigma_3_Pa,stability_index,yield_state
42.0,42.00025020087143,4199.854787802211,5152.922027720791,216.4799677419355,232.6200714111328,16.140103669197316,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,401852.7503328676,482223.3003994411,Mohr-Coulomb,1.2010818968962644,0.4003606322987548,4.201081896896264,0.0,377715.69165136304,1044817.1508654559,0.0,2.1389474001981488,plastic_estimate
43.0,43.00025615767007,4198.880454947882,5152.696915551027,216.4834193548388,233.0041046142578,16.520685259419054,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,411328.38703825854,493594.0644459102,Mohr-Coulomb,1.2255533668736502,0.40851778895788343,4.22555336687365,0.0,390786.1379569543,1069453.8062994722,0.0,2.212963380372408,plastic_estimate
44.0,44.00026211446763,4197.906122093554,5152.471803381263,216.486870967742,233.3881378173828,16.901266849640848,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,420804.02374365093,504964.8284923811,Mohr-Coulomb,1.2494674663239969,0.4164891554413323,4.249467466323997,0.0,403856.58426254755,1094090.4617334926,0.0,2.2869793605466784,plastic_estimate
45.0,45.00026807126628,4196.931789239225,5152.246691211499,216.4903225806452,233.76953125,17.2792086693548,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,430213.93602368864,516256.72322842636,Mohr-Coulomb,1.2726886227716663,0.42422954092388876,4.272688622771666,0.0,416836.3720087982,1118556.2336615906,0.0,2.3604819548751985,plastic_estimate
46.0,46.00027402806384,4195.957456384896,5152.021579041735,216.4937741935484,234.10508728027344,17.611313086725033,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,438482.59874440084,526179.118493281,Mohr-Coulomb,1.292678015445704,0.43089267181523466,4.292678015445704,0.0,428241.9498575801,1140054.7567354422,0.0,2.4250700342868625,plastic_estimate
47.0,47.00027998486208,4194.983123530567,5151.796466871972,216.4972258064516,234.44064331054688,17.943417504095265,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,446751.2614651131,536101.5137581357,Mohr-Coulomb,1.31229395821105,0.4374313194036833,4.31229395821105,0.0,439647.5277063622,1161553.279809294,0.0,2.489658113698527,plastic_estimate
48.0,48.000285941660046,4194.008790676239,5151.571354702207,216.50067741935484,234.7761993408203,18.27552192146547,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,455019.9241858246,546023.9090229895,Mohr-Coulomb,1.3315501494246513,0.44385004980821713,4.331550149424651,0.0,451053.1055551433,1183051.802883144,0.0,2.554246193110186,plastic_estimate
49.0,49.00029189845849,4193.03445782191,5151.346242532443,216.50412903225808,235.1117553710937,18.607626338835672,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,463288.5869065361,555946.3042878433,Mohr-Coulomb,1.3504595473021042,0.45015318243403474,4.350459547302104,0.0,462458.68340392434,1204550.3259569937,0.0,2.6188342725218443,plastic_estimate
50.0,50.00029785525626,4192.060124967582,5151.121130362679,216.5075806451613,235.44732666015625,18.93974601499493,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,471557.6295372205,565869.1554446646,Mohr-Coulomb,1.369035268228708,0.4563450894095693,4.369035268228708,0.0,473864.7852906204,1226049.8367967734,0.0,2.683425319481743,plastic_estimate
51.0,51.0003038120547,4191.085792113253,5150.896018192915,216.5110322580645,235.7828826904297,19.2718504323652,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,479826.29225793364,575791.5507095204,Mohr-Coulomb,1.3872872362804,0.46242907876013334,4.3872872362804,0.0,485270.36313940375,1247548.3598706275,0.0,2.7480133988934146,plastic_estimate
52.0,52.000309768852055,4190.111459258925,5150.670906023152,216.51448387096767,236.11843872070312,19.6039548497354,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,488094.9549786451,585713.9459743741,Mohr-Coulomb,1.405227346781626,0.4684091155938753,4.405227346781626,0.0,496675.94098818465,1269046.8829444773,0.0,2.8126014783050723,plastic_estimate
53.0,53.00031572565091,4189.137126404596,5150.445793853387,216.51793548387096,236.45399475097656,19.936059267105605,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,496363.61769935663,595636.3412392279,Mohr-Coulomb,1.4228660778979323,0.4742886926326441,4.4228660778979325,0.0,508081.5188369658,1290545.4060183272,0.0,2.877189557716732,plastic_estimate
54.0,54.00032168244847,4188.162793550267,5150.220681683623,216.5213870967742,236.78956604003903,20.26817894326487,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,504632.6603300413,605559.1923960495,Mohr-Coulomb,1.4402141789082128,0.48007139296940426,4.440214178908213,0.0,519487.6207236622,1312044.9168581076,0.0,2.9417806046766324,plastic_estimate
55.0,55.00032763924691,4187.188460695938,5149.99556951386,216.52483870967745,237.1251220703125,20.600283360635046,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,512901.3230507521,615481.5876609025,Mohr-Coulomb,1.4572795292805378,0.4857598430935126,4.457279529280537,0.0,530893.1985724422,1333543.4399319554,0.0,3.006368684088285,plastic_estimate
56.0,56.00033359604468,4186.21412784161,5149.770457344095,216.52829032258063,237.460678100586,20.932387778005307,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,521169.985771465,625403.982925758,Mohr-Coulomb,1.474071951298007,0.49135731709933567,4.474071951298007,0.0,542298.7764212253,1355041.963005809,0.0,3.070956763499955,plastic_estimate
57.0,57.00033955284292,4185.239794987281,5149.545345174332,216.53174193548384,237.7962341308593,21.26449219537554,SH_ST,SH_ST,2538.0,0.8,0.38,0.1,28.0,529438.6484921772,635326.3781906127,Mohr-Coulomb,1.4906000376734365,0.49686667922447886,4.4906000376734365,0.0,553704.3542700073,1376540.486079661,0.0,3.1355448429116195,plastic_estimate
